Team,Matches,Won,Lost,Tied,NR,%
Afghanistan,126,59,63,1,3,48.37
Africa XI,6,1,4,0,1,20
Asia XI,7,4,2,0,1,66.66
Australia,949,575,331,9,34,63.33
Bangladesh,376,128,241,0,7,34.68
Bermuda,35,7,28,0,0,20
Canada,77,17,58,0,2,22.66
East Africa,3,0,3,0,0,0
England,746,375,334,9,28,52.85
Hong Kong,26,9,16,0,1,36
ICC World XI,4,1,3,0,0,25
India,987,513,424,9,41,54.7
Ireland,156,67,78,3,8,46.28
Kenya,154,42,107,0,5,28.18
Namibia,14,5,9,0,0,35.71
Nepal,10,5,5,0,0,50
Netherlands,80,31,45,1,3,40.9
New Zealand,772,351,374,7,40,48.42
Oman,11,8,3,0,0,72.72
Pakistan,927,486,413,8,20,54.02
Papua New Guinea,27,7,20,0,0,25.92
Scotland,115,42,66,1,6,38.99
South Africa,625,385,216,6,18,63.92
Sri Lanka,852,389,421,5,37,48.03
United Arab Emirates,59,17,42,0,0,28.81
United States of America,15,6,9,0,0,40
West Indies,822,401,381,10,30,51.26
Zimbabwe,529,138,373,7,11,27.31
